Time,Emotion,Confidence
2026-05-09 00:05:40,neutral,96.92
2026-05-09 00:05:40,fear,82.89
2026-05-09 00:05:40,neutral,42.45
2026-05-09 00:05:40,neutral,43.55
2026-05-09 00:05:40,sad,41.84
2026-05-09 00:05:40,sad,56.65
2026-05-09 00:05:41,neutral,44.02
2026-05-09 00:05:41,sad,70.80
2026-05-09 00:05:41,sad,82.91
2026-05-09 00:05:41,sad,73.16
2026-05-09 00:05:41,sad,49.94
2026-05-09 00:05:41,sad,59.24
2026-05-09 00:05:41,neutral,64.98
2026-05-09 00:05:42,neutral,58.74
2026-05-09 00:05:42,sad,61.80
2026-05-09 00:05:42,neutral,62.89
2026-05-09 00:05:42,neutral,88.59
2026-05-09 00:05:42,fear,45.24
2026-05-09 00:05:42,fear,44.62
2026-05-09 00:05:42,neutral,54.36
2026-05-09 00:05:43,neutral,85.30
2026-05-09 00:05:43,neutral,61.34
2026-05-09 00:05:43,neutral,71.78
2026-05-09 00:05:43,neutral,99.00
2026-05-09 00:05:43,neutral,98.70
2026-05-09 00:05:43,neutral,98.95
2026-05-09 00:05:43,neutral,99.03
2026-05-09 00:05:44,neutral,98.15
2026-05-09 00:05:44,neutral,99.73
2026-05-09 00:05:44,neutral,75.67
2026-05-09 00:05:44,neutral,72.27
2026-05-09 00:05:44,neutral,81.76
2026-05-09 00:05:44,neutral,47.24
2026-05-09 00:05:44,neutral,59.97
2026-05-09 00:05:45,sad,53.64
2026-05-09 00:05:45,neutral,69.71
2026-05-09 00:05:45,sad,55.52
2026-05-09 00:05:45,fear,53.77
2026-05-09 00:05:45,sad,55.65
2026-05-09 00:05:45,sad,54.64
2026-05-09 00:05:45,sad,67.70
2026-05-09 00:05:45,sad,50.14
2026-05-09 00:05:47,sad,54.87
2026-05-09 00:05:47,sad,49.72
2026-05-09 00:05:48,sad,39.58
2026-05-09 00:05:48,sad,52.77
2026-05-09 00:05:48,sad,53.83
2026-05-09 00:05:48,sad,52.68
2026-05-09 00:05:48,sad,46.01
2026-05-09 00:05:48,sad,48.44
2026-05-09 00:05:48,sad,62.33
2026-05-09 00:05:48,sad,56.00
2026-05-09 00:05:49,sad,58.49
2026-05-09 00:05:49,sad,67.27
2026-05-09 00:05:49,sad,60.89
2026-05-09 00:05:49,sad,60.30
2026-05-09 00:05:49,fear,43.56
2026-05-09 00:05:49,sad,44.76
2026-05-09 00:05:49,sad,41.90
2026-05-09 00:05:50,sad,44.29
2026-05-09 00:17:44.067607,fear,62.479473
2026-05-09 00:17:44.709915,sad,51.001785
2026-05-09 00:17:45.055587,sad,43.43284
2026-05-09 00:17:45.393363,sad,46.27341
2026-05-09 00:17:45.713039,sad,49.125893
2026-05-09 00:17:46.033548,sad,50.57544
2026-05-09 00:17:46.330556,sad,48.645935
2026-05-09 00:17:46.635521,sad,54.996094
2026-05-09 00:17:46.934583,sad,57.414715
2026-05-09 00:17:47.249418,sad,50.157883
2026-05-09 00:17:47.533050,sad,40.3085
2026-05-09 00:17:48.781233,sad,55.96656
2026-05-09 00:17:49.283505,sad,48.86055
2026-05-09 00:17:49.699974,sad,53.110836
2026-05-09 00:17:50.027793,sad,62.037594
2026-05-09 00:17:50.404622,sad,61.081802
2026-05-09 00:17:50.997248,sad,62.784367
2026-05-09 00:17:51.344411,sad,64.961235
2026-05-09 00:17:51.685712,sad,58.70597
2026-05-09 00:17:52.002525,sad,62.978535
2026-05-09 00:17:52.349117,sad,64.51807
2026-05-09 00:17:52.676399,sad,51.664143
2026-05-09 00:17:53.008344,sad,64.644066
2026-05-09 00:17:53.290188,sad,66.5241
2026-05-09 00:17:53.559544,sad,59.199013
2026-05-09 00:17:53.840524,sad,52.746685
2026-05-09 00:17:54.142523,sad,63.417755
2026-05-09 00:17:54.436739,sad,66.49728
2026-05-09 00:17:54.749524,sad,61.098846
2026-05-09 00:17:55.033633,sad,55.41167
2026-05-09 00:17:55.359053,sad,63.740677
2026-05-09 00:17:55.663268,sad,65.58801
2026-05-09 00:17:55.997518,fear,56.46506
2026-05-09 00:17:56.343587,sad,65.65742
2026-05-09 00:17:56.680454,sad,59.85877
2026-05-09 00:17:57.019507,sad,62.57458
2026-05-09 00:17:57.394107,angry,44.202076
2026-05-09 00:17:57.715242,sad,68.479095
2026-05-09 00:17:58.050680,sad,71.136894
2026-05-09 00:17:58.370650,sad,62.225956
2026-05-09 00:17:58.675689,sad,67.21577
2026-05-09 00:17:59.008620,sad,57.078625
2026-05-09 00:17:59.328034,sad,82.99807
2026-05-09 00:17:59.653977,sad,60.69793
2026-05-09 00:18:00.000539,sad,63.89156
2026-05-09 00:18:00.354555,sad,70.07509
2026-05-09 00:18:00.630843,sad,71.45973
2026-05-09 00:18:00.929826,sad,71.91981
2026-05-09 00:18:01.222449,sad,77.80421
2026-05-09 00:18:01.519554,sad,71.2743
2026-05-09 00:18:01.816270,sad,64.6258
2026-05-09 00:18:02.163311,sad,71.9879
2026-05-09 00:18:02.596802,sad,70.40825
2026-05-09 00:18:04.680885,sad,69.406876
2026-05-09 00:18:05.248065,sad,68.52183
2026-05-09 00:18:05.763903,sad,63.165745
2026-05-09 00:18:06.152183,sad,71.87717
2026-05-09 00:18:06.518524,sad,73.56053
2026-05-09 00:18:06.878364,sad,70.80431
2026-05-09 00:18:07.223823,sad,72.46877
2026-05-09 00:18:07.519267,sad,73.45673
2026-05-09 00:18:07.820615,sad,70.84937
2026-05-09 00:18:08.127128,sad,71.65254
2026-05-09 00:18:08.449102,fear,56.27895
2026-05-09 00:18:08.765267,fear,42.246983
2026-05-09 00:18:09.090523,fear,44.178642
2026-05-09 00:18:09.422945,sad,57.14672
2026-05-09 00:18:09.802384,sad,80.40988
2026-05-09 00:18:10.127052,sad,84.22791
2026-05-09 00:18:10.439211,sad,57.43209
2026-05-09 00:18:10.793751,neutral,61.726017
2026-05-09 00:18:11.225537,neutral,75.48581
2026-05-09 00:18:11.577771,sad,48.890255
2026-05-09 00:18:11.924761,happy,40.956295
2026-05-09 00:18:12.234190,happy,49.321182
2026-05-09 00:18:12.555742,sad,50.77399
2026-05-09 00:18:12.901265,happy,31.275284
2026-05-09 00:18:13.225415,happy,64.8167
2026-05-09 00:18:13.549418,neutral,78.32546
2026-05-09 00:18:13.872873,happy,91.27513
2026-05-09 00:18:14.235080,happy,96.80327
2026-05-09 00:18:14.581350,happy,95.93691
2026-05-09 00:18:14.922312,happy,60.67183
2026-05-09 00:18:15.284177,neutral,89.280334
2026-05-09 00:18:15.610940,neutral,93.95067
2026-05-09 00:18:15.950920,neutral,97.39719
2026-05-09 00:18:16.280786,neutral,45.000225
2026-05-09 00:18:16.590286,fear,82.22426
2026-05-09 00:18:16.898412,fear,62.74572
2026-05-09 00:18:17.254613,fear,57.46368
2026-05-09 00:18:17.558701,fear,47.62819
2026-05-09 00:18:17.981454,sad,39.300137
2026-05-09 00:18:20.192614,sad,52.66727
2026-05-09 00:18:20.553904,sad,37.052
2026-05-09 00:18:20.917407,happy,62.297585
2026-05-09 00:18:21.355919,happy,83.01791
2026-05-09 00:18:21.753878,happy,68.76069
2026-05-09 00:18:22.127130,neutral,55.790977
2026-05-09 00:18:22.568843,neutral,47.238205
2026-05-09 00:18:22.939840,sad,52.753685
2026-05-09 00:18:23.302720,sad,91.182915
2026-05-09 00:18:23.752424,neutral,98.01255
2026-05-09 00:18:24.117761,neutral,98.32325
2026-05-09 00:18:24.489035,neutral,94.854996
2026-05-09 00:18:24.887947,neutral,98.51275
2026-05-09 00:18:25.340930,neutral,94.04776
2026-05-09 00:18:25.701435,neutral,90.03312
2026-05-09 00:18:26.081982,neutral,93.530136
2026-05-09 00:18:26.483135,neutral,59.866673
2026-05-09 00:18:26.910011,sad,64.21208
2026-05-09 00:18:27.345092,sad,83.26425
2026-05-09 00:18:27.750075,sad,64.29924
2026-05-09 00:18:28.141104,fear,45.4305
2026-05-09 00:18:28.525673,sad,87.72972
2026-05-09 00:18:28.920924,sad,52.819614
2026-05-09 00:18:29.293160,sad,50.12285
2026-05-09 00:18:29.660513,sad,67.91484
2026-05-09 00:18:30.049978,fear,55.483425
2026-05-09 00:18:30.420698,sad,75.28409
2026-05-09 00:18:30.778253,sad,84.74268
2026-05-09 00:18:31.140396,sad,70.1441
2026-05-09 00:18:31.503934,sad,56.85923
